date,liczba_przejazdow,temperatura,opady,wiatr,wilgotnosc
2018-01-01,101,-9.757425742574258,0.0,16.38118811881188,40.277227722772274
2018-01-02,394,-7.273350253807106,0.0,16.972081218274113,49.98730964467005
2018-01-03,467,-7.161241970021413,0.0,8.590578158458245,57.76231263383298
2018-01-04,52,-4.9423076923076925,0.9692307692307692,36.86153846153846,65.90384615384616
2018-01-05,121,-12.582644628099173,0.0,24.742975206611572,55.578512396694215
2018-01-06,75,-13.813333333333333,0.0,23.682666666666666,54.973333333333336
2018-01-07,90,-13.717777777777776,0.0,9.354444444444445,65.21111111111111
2018-01-08,323,-5.336222910216718,0.09907120743034056,14.26842105263158,76.17647058823529
2018-01-09,414,0.3113526570048309,0.0,15.092270531400965,76.95652173913044
2018-01-10,509,-3.413948919449902,0.0,9.452652259332023,84.44597249508841
2018-01-11,581,5.426678141135973,0.0,11.292426850258176,92.51807228915662
2018-01-12,377,12.510344827586206,1.7496021220159153,24.25437665782493,97.6870026525199
2018-01-13,302,-0.37119205298013247,0.04933774834437086,27.162582781456955,56.11920529801324
2018-01-14,191,-6.024083769633507,0.0,17.567015706806284,33.738219895287955
2018-01-15,297,-3.613131313131313,0.0,14.748821548821548,60.898989898989896
2018-01-16,525,-0.2497142857142857,0.0,7.749904761904761,81.51428571428572
2018-01-17,402,-0.9922885572139303,0.24353233830845772,16.69502487562189,74.93532338308458
2018-01-18,470,-4.14531914893617,0.0,12.382340425531915,53.57234042553191
2018-01-19,542,-0.6070110701107011,0.0,13.26660516605166,55.32656826568266
2018-01-20,505,6.521386138613861,0.0,20.308514851485146,52.95247524752475
2018-01-21,457,7.111816192560175,0.0,8.198030634573303,64.94091903719912
2018-01-22,666,6.256306306306306,0.007357357357357358,6.53918918918919,89.94744744744744
2018-01-23,524,10.099045801526719,0.5559160305343511,19.999809160305343,84.92366412213741
2018-01-24,615,2.171869918699187,0.0,18.348455284552845,54.31382113821138
2018-01-25,583,-2.497770154373928,0.0,14.077701543739279,41.17667238421956
2018-01-26,587,-2.075298126064736,0.0,7.56473594548552,55.851788756388416
2018-01-27,507,8.378698224852071,0.0,21.544970414201185,59.74161735700197
2018-01-28,287,8.291289198606272,0.10905923344947735,6.902439024390244,86.38675958188153
2018-01-29,693,3.735786435786436,0.02510822510822511,18.403607503607503,66.28138528138528
2018-01-30,485,-0.25360824742268046,0.05855670103092783,18.332577319587628,62.531958762886596
2018-01-31,524,-3.5923664122137406,0.0,15.155343511450381,48.60496183206107
2018-02-01,610,3.899508196721311,0.0036065573770491808,12.859180327868852,64.52131147540983
2018-02-02,494,-3.301417004048583,0.020242914979757085,25.242914979757085,50.79554655870445
2018-02-03,301,-3.064119601328904,0.0,18.58737541528239,36.79734219269103
2018-02-04,273,2.912087912087912,0.36336996336996336,8.384615384615385,73.28205128205128
2018-02-05,559,-1.244186046511628,0.008228980322003577,15.72737030411449,61.51520572450805
2018-02-06,641,-0.8124804992199689,0.0,7.162558502340094,61.43213728549142
2018-02-07,314,1.6369426751592357,1.2398089171974522,17.24012738853503,84.171974522293
2018-02-08,591,-2.555329949238579,0.00016920473773265651,14.188832487309645,56.44670050761421
2018-02-09,581,-1.23855421686747,0.002925989672977625,11.74130808950086,65.92598967297762
2018-02-10,264,6.047727272727272,0.2662878787878788,9.865151515151515,87.48863636363636
2018-02-11,151,11.220529801324503,1.3556291390728477,15.783443708609273,97.76821192052981
2018-02-12,689,4.588824383164005,0.0005805515239477504,18.774310595065312,58.60377358490566
2018-02-13,638,-1.4510971786833855,0.0,10.789498432601881,60.61598746081505
2018-02-14,708,5.7015536723163835,0.014548022598870057,12.209745762711865,74.46186440677967
