date,gender_label,liczba_przejazdow,temperatura,opady,wiatr,wilgotnosc
2018-01-01,Kobiety,17,-10.058823529411764,0.0,16.0,40.11764705882353
2018-01-01,Mężczyźni,84,-9.761904761904763,0.0,16.458333333333332,40.30952380952381
2018-01-02,Kobiety,67,-7.537313432835821,0.0,17.035820895522384,50.91044776119403
2018-01-02,Mężczyźni,322,-7.25776397515528,0.0,16.97857142857143,49.75776397515528
2018-01-02,Unknown,5,-7.6,0.0,15.7,52.4
2018-01-03,Kobiety,84,-6.821428571428571,0.0,8.425,56.523809523809526
2018-01-03,Mężczyźni,372,-7.0,0.0,8.626612903225807,57.865591397849464
2018-01-03,Unknown,13,-8.307692307692308,0.0,8.438461538461539,59.15384615384615
2018-01-04,Kobiety,4,-5.0,1.325,37.6,63.0
2018-01-04,Mężczyźni,48,-4.75,0.9395833333333333,36.800000000000004,66.14583333333333
2018-01-05,Kobiety,17,-12.705882352941176,0.0,22.735294117647058,55.88235294117647
2018-01-05,Mężczyźni,102,-12.607843137254902,0.0,25.091176470588238,55.51960784313726
2018-01-05,Unknown,2,-13.0,0.0,24.05,56.0
2018-01-06,Kobiety,11,-14.090909090909092,0.0,22.827272727272728,56.0
2018-01-06,Mężczyźni,63,-13.777777777777779,0.0,23.93968253968254,54.666666666666664
2018-01-06,Unknown,1,-15.0,0.0,16.9,63.0
2018-01-07,Kobiety,20,-14.45,0.0,8.790000000000001,65.9
2018-01-07,Mężczyźni,69,-13.333333333333334,0.0,9.520289855072463,64.95652173913044
2018-01-07,Unknown,1,-17.0,0.0,9.2,69.0
2018-01-08,Kobiety,58,-5.603448275862069,0.05172413793103448,14.229310344827585,75.17241379310344
2018-01-08,Mężczyźni,257,-5.385214007782102,0.11284046692607004,14.326070038910505,76.45136186770428
2018-01-08,Unknown,8,-8.25,0.0,12.7,74.625
2018-01-09,Kobiety,72,0.041666666666666664,0.0,14.851388888888888,77.55555555555556
2018-01-09,Mężczyźni,333,0.25225225225225223,0.0,15.145945945945947,76.84084084084084
