month,day,start_station_name,end_station_name,liczba_tras,temperatura,opady,wiatr
4,1,Morris Canal,Exchange Pl,16,8.775,0.0,16.470833333333335
4,8,Hamilton Park,Grove St PATH,16,2.6625,0.0,18.304166666666667
4,18,Marin Light Rail,Grove St PATH,16,6.329166666666667,0.0,17.779166666666665
4,21,Grove St PATH,Liberty Light Rail,16,8.266666666666667,0.0,13.854166666666666
4,22,Grove St PATH,Liberty Light Rail,16,9.6875,0.0,10.708333333333334
7,7,Southwest Park - Jackson St & Observer Hwy,Hoboken Terminal - Hudson St & Hudson Pl,16,20.191666666666666,0.0,14.325000000000001
7,8,Grove St PATH,Lafayette Park,16,20.891666666666666,0.0,7.766666666666667
7,8,Grove St PATH,Marin Light Rail,16,20.891666666666666,0.0,7.766666666666667
7,8,Liberty Light Rail,Grove St PATH,16,20.891666666666666,0.0,7.766666666666667
7,9,Grove St PATH,JC Medical Center,16,22.666666666666668,0.0,11.595833333333333
7,13,Hamilton Park,Hamilton Park,16,22.90833333333333,0.0,11.408333333333333
7,18,Baldwin at Montgomery,Grove St PATH,16,24.22083333333333,0.0,14.616666666666667
7,18,Liberty Light Rail,Liberty Light Rail,16,24.22083333333333,0.0,14.616666666666667
7,18,Manila & 1st,Hamilton Park,16,24.22083333333333,0.0,14.616666666666667
7,29,Grove St PATH,Marin Light Rail,16,23.858333333333334,0.0,9.6625
7,29,Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,16,23.858333333333334,0.0,9.6625
10,14,Bergen Ave & Sip Ave,McGinley Square,16,10.825000000000001,0.0,8.029166666666667
10,14,Dixon Mills,Grove St PATH,16,10.825000000000001,0.0,8.029166666666667
10,22,Hamilton Park,Manila & 1st,16,7.033333333333334,0.0,12.85
10,22,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,16,7.033333333333334,0.0,12.85
10,22,McGinley Square,Bergen Ave & Sip Ave,16,7.033333333333334,0.0,12.85
10,24,Grove St PATH,Liberty Light Rail,16,9.216666666666667,0.0,21.804166666666664
10,24,River St & Newark St,11 St & Washington St,16,9.216666666666667,0.0,21.804166666666664
1,2,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,15,-7.8,0.0,17.841666666666665
4,1,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,15,8.775,0.0,16.470833333333335
4,1,Stevens - River Ter & 6 St,Hoboken Terminal - River St & Hudson Pl,15,8.775,0.0,16.470833333333335
4,14,Bergen Ave & Sip Ave,McGinley Square,15,17.287499999999998,0.0,16.308333333333334
4,14,Hamilton Park,Grove St PATH,15,17.287499999999998,0.0,16.308333333333334
4,18,Grove St PATH,Marin Light Rail,15,6.329166666666667,0.0,17.779166666666665
4,18,Liberty Light Rail,Liberty Light Rail,15,6.329166666666667,0.0,17.779166666666665
4,18,McGinley Square,Bergen Ave & Sip Ave,15,6.329166666666667,0.0,17.779166666666665
4,22,Liberty Light Rail,Grove St PATH,15,9.6875,0.0,10.708333333333334
4,23,McGinley Square,Bergen Ave & Sip Ave,15,9.320833333333333,0.0,9.970833333333333
7,1,Brunswick St,Grove St PATH,15,27.583333333333332,0.0,8.200000000000001
7,1,Grove St PATH,Liberty Light Rail,15,27.583333333333332,0.0,8.200000000000001
7,1,Lafayette Park,Grove St PATH,15,27.583333333333332,0.0,8.200000000000001
7,7,Brunswick St,Grove St PATH,15,20.191666666666666,0.0,14.325000000000001
7,7,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,15,20.191666666666666,0.0,14.325000000000001
7,8,Grove St PATH,Liberty Light Rail,15,20.891666666666666,0.0,7.766666666666667
