,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,temperature (°C),relative_humidity (%),wind_speed (km/h),precipitation (mm)
26,505,2018-01-01 10:23:52.873,2018-01-01 10:32:18.2160,3211,Newark Ave,40.72152515,-74.046304543,3206,Hilltop,40.7311689,-74.0575736,31872,Subscriber,1985,Female,-12.2,46,18.4,0.0
27,273,2018-01-01 10:33:41.824,2018-01-01 10:38:15.5680,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31832,Subscriber,1981,Female,-11.0,42,21.2,0.0
28,192,2018-01-01 11:24:23.271,2018-01-01 11:27:35.5450,3267,Morris Canal,40.7124188237569,-74.03852552175522,3183,Exchange Place,40.7162469,-74.0334588,29615,Subscriber,1990,Male,-11.0,42,21.2,0.0
29,1207,2018-01-01 11:34:28.582,2018-01-01 11:54:35.6180,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3279,Dixon Mills,40.721630142638354,-74.04996782541275,31832,Subscriber,1988,Male,-9.8,38,21.4,0.0
30,183,2018-01-01 11:39:39.960,2018-01-01 11:42:43.3540,3194,McGinley Square,40.7253399253558,-74.06762212514877,3195,Sip Ave,40.73074262530658,-74.06378388404846,29681,Subscriber,1990,Male,-9.8,38,21.4,0.0
31,550,2018-01-01 12:06:18.039,2018-01-01 12:15:28.4430,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31845,Subscriber,1969,Female,-9.8,38,21.4,0.0
32,510,2018-01-01 12:06:56.978,2018-01-01 12:15:27.8100,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31708,Subscriber,1946,Male,-9.8,38,21.4,0.0
33,490,2018-01-01 12:19:39.221,2018-01-01 12:27:50.1050,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3275,Columbus Drive,40.71835519823214,-74.03891444206238,31832,Subscriber,1965,Male,-9.8,38,21.4,0.0
34,201,2018-01-01 12:33:44.851,2018-01-01 12:37:06.6620,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,31833,Subscriber,1988,Male,-8.6,34,20.9,0.0
35,520,2018-01-01 12:38:18.100,2018-01-01 12:46:58.9000,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31743,Subscriber,1957,Male,-8.6,34,20.9,0.0
36,174,2018-01-01 13:00:20.829,2018-01-01 13:03:15.0860,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3481,York St,40.71649,-74.04105,31743,Subscriber,1987,Male,-8.6,34,20.9,0.0
37,192,2018-01-01 13:14:36.140,2018-01-01 13:17:49.0760,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.04311746358871,29582,Subscriber,1987,Male,-8.6,34,20.9,0.0
38,318,2018-01-01 13:22:39.228,2018-01-01 13:27:58.0740,3185,City Hall,40.7177325,-74.043845,3267,Morris Canal,40.7124188237569,-74.03852552175522,31694,Subscriber,1955,Male,-8.6,34,20.9,0.0
39,394,2018-01-01 13:34:56.545,2018-01-01 13:41:30.6700,3640,Journal Square,40.73367,-74.0625,3281,Leonard Gordon Park,40.74590996631558,-74.0572714805603,29597,Subscriber,1978,Male,-7.7,30,20.4,0.0
40,467,2018-01-01 13:43:45.112,2018-01-01 13:51:32.7200,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,31762,Subscriber,1969,Female,-7.7,30,20.4,0.0
41,456,2018-01-01 13:43:57.455,2018-01-01 13:51:33.8600,3202,Newport PATH,40.7272235,-74.0337589,3183,Exchange Place,40.7162469,-74.0334588,26190,Subscriber,1946,Male,-7.7,30,20.4,0.0
42,956,2018-01-01 13:51:30.050,2018-01-01 14:07:26.4390,3189,West Side Light Rail,40.714402,-74.0887723,3195,Sip Ave,40.73074262530658,-74.06378388404846,26289,Subscriber,1962,Male,-7.7,30,20.4,0.0
43,353,2018-01-01 13:52:01.732,2018-01-01 13:57:55.0520,3214,Essex Light Rail,40.7127742,-74.0364857,3185,City Hall,40.7177325,-74.043845,31954,Subscriber,1988,Male,-7.7,30,20.4,0.0
44,383,2018-01-01 13:56:18.130,2018-01-01 14:02:41.7320,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074262530658,-74.06378388404846,31940,Subscriber,1988,Male,-7.7,30,20.4,0.0
45,448,2018-01-01 13:59:29.677,2018-01-01 14:06:57.9560,3267,Morris Canal,40.7124188237569,-74.03852552175522,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31694,Subscriber,1983,Male,-7.7,30,20.4,0.0
46,429,2018-01-01 14:02:42.579,2018-01-01 14:09:52.5380,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73074262530658,-74.06378388404846,31709,Subscriber,1979,Male,-7.7,30,20.4,0.0
47,204,2018-01-01 14:09:55.503,2018-01-01 14:13:20.1320,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,31711,Subscriber,1989,Male,-7.7,30,20.4,0.0
48,101,2018-01-01 14:11:00.153,2018-01-01 14:12:41.8380,3211,Newark Ave,40.72152515,-74.046304543,3213,Van Vorst Park,40.71848892,-74.047726625,31925,Subscriber,1989,Male,-7.7,30,20.4,0.0
49,188,2018-01-01 14:20:16.304,2018-01-01 14:23:25.1830,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,31694,Subscriber,1983,Male,-7.7,30,20.4,0.0
